reaction_id,median_fluxes
ORNt2r,0.0
ACONTbm,2.2845077842778303
FAO182p_even,0.0
CYSTGL,0.006740648460832435
ECOAH4m,-0.032380063684269836
OPAH,0.0
THRD_L,0.010532563113327344
HISTRSm,0.0
PTE7m,0.0
PLBPC_RT,0.033673744688645896
LEUt7,0.2277077076609722
ADHAPRer_RT,0.01087988105000616
C22STDSer,0.0017645375544768818
SACCD2,0.01988282392739785
ASPTAp,0.0
PFK_3,0.2316568364241114
ILEt6,0.0
PROTRS,0.01916737515359508
ACOAO8p,0.0023525519457691067
FBP,0.04559121244476455
NMNAT,0.06462449901998112
TRPO2,0.08859607989851147
BPNT,4.8623738504982426e-05
IPCS126g_RT,8.170576383992419e-13
ALCD26xi,0.0013395846727467036
SHCHF,0.0
PUNP4,0.0
ATPATF2,0.0
MTHFC,-0.17505249253225247
PI4P5Kn_RT,0.0
URIDK2rn,0.0
GALt2,229229.3071414034
UNK3,0.11461183530224117
ORNDC,0.069504480011972
CHOLK,0.016836872344322948
MIPC126PLCg_RT,0.0
IPPSm,0.06932126931468842
VALTRSm,0.0
ALLTN,0.0
THIORDXni,0.0
NTPP11,0.0
ABTA,0.194198545875487
PYDXPP,0.23965997303383083
SUCFUMtm,0.09946481554861744
LCYSTintv,0.0
MTHFD2i,572581.0907270284
PTE10x,0.0
G3PIt,0.0
PPYRDC,0.0
ALR2,0.0
PC,0.6257892420207771
D_LACt2,0.0
GLYCt,320447.5481141759
GLYt2r,-0.008689365931422983
ADSK,4.8623738504982426e-05
PPCK,0.06153731480012821
TCHOLAabcv,0.0
SHKK,0.07995414120523545
LYSTRS,0.014002680957026399
MGCHrm,0.05828102113661744
TAGL_RT,6.608971609932565e-06
FRDcm,0.5494620642460413
HACD6p,-0.009544371130399704
4HGLSDm,0.0
FA240tp,0.0005140205075813793
MFAPSer_RT,0.002280481197169516
ALDD20y,0.0
PDX5POi,0.2392145861065172
GUAPRT,0.0
GLU5K,0.012252657545523722
MIPC224PLCg_RT,0.0
CHORM,0.050377902566037594
FACOAL80,0.0
FACOAL161,0.12243606464821889
CYSTAm,0.0
ILEt2r,0.0
UGLT,385120.6124840521
ITCY,0.0
GLNt2r,-15941.926250387507
ADD,0.0009779074161847447
DASYNm_RT,0.00029251135263670696
GF6PTA,0.002519254010684874
DADA,0.009377771028833559
NDPK1,5822.4875973464805
MIPC326PLCg_RT,0.0
FAO181p_odd,1.1830906335940835e-05
CERS224er,-3.9743820374993924e-13
G3PT,0.0490284445803587
FA260tp,0.0
MIP2C124PLCg_RT,-5.280913763640687e-13
ENO,2.349760105375171
ACON3MT,0.0
HACD8p,-0.0023525519457691067
HEX1,0.8943124347839551
MCPST,0.0
ASNt2r,-221624.0500370893
AHCi,0.07519101851650159
ADPT2,0.0
ACOTAim,0.1115916848589229
IPCS324g_RT,5.045859562639139e-14
ASNN,0.0
NNMT,0.0
ACACT1m,0.047348564781611105
HACD10p,0.0
DHORTS,-0.00835428682642434
ACACT8p,0.0023525519457691067
PFK,0.6054603530215509
MAN1PT,0.06564775412937479
IPC124PLCg_RT,0.0
PRDX,0.0
ACOAO6p,0.009544371130399704
RNDR1n,0.0
KARA1im,0.1832684422338411
SBTD_L,0.0
ALCD22yi,0.0
DNADDP,0.0
SUCOASm,-1.2720788629903013
THRS,0.21375054732935203
SBPP2er,0.0
UMPK,-238065.6106764847
PYDXK,0.0
ADPT,0.0021363949790230746
DNMPPA,0.0003170498023104492
MIP2C326PLCg_RT,4.4499913525741474e-13
ACOAO7p,0.002390098063227831
FECOSTATer_RT,0.10855878094391849
ACALDCD,0.0009027860228919396
AMETtm,0.00039294025037530853
CERH124er,0.0
PPA,3.023717041553552
OMPDC,0.00835428682642434
LPCATer_RT,0.0021517977749257993
MI1456PKn,0.0
IPCS326g_RT,-1.2671131514678659e-13
IPPS,0.01763021759909725
XPPT,0.00025322032392982065
ECOAH4p,-0.009544371130399704
RBFKm,0.0
NDPK6,-697866.2592677209
ICLp,0.4482394155475643
NACt,0.0
FMNATm,0.0
IMACTD,0.0
ECOAH1m,-0.11164099441865766
FBA3,0.1743454181255294
IPPMIa,-0.08903189199823631
RNMK,0.0001056856347709722
SLFAT,0.11927206717432073
GAT1er_RT,0.0104363055797954
THRTRS,0.017723750375179342
HPYRRy,0.09901696298616228
DHORDfum,0.007764997485213905
3HAO,0.015203607502723865
MIPCS124g_RT,1.6896070576592644e-11
NNAT,0.038164125842190595
TRPS1,0.09272275552136611
PTE2m,0.0
PI45BPPn_RT,0.0
FA160COAabcp,3.9815570370881355e-05
